Country_Region,county,state,enroll_16,enroll_17,enroll_18,enroll_19,enroll_20,international_18,international_19,international_20,stimulus funding
Michigan,Washtenaw,Michigan,44718.00,46002.00,46716.00,48090.00,48090.00,6984.00,7271.00,6984.00,36174408.00
Northwestern,Cook,Illinois,16415.00,16675.00,22127.00,17156.00,22127.00,NA,NA,NA,12775920.00
Rutgers,Middlesex,New Jersey,50146.00,49577.00,50254.00,50173.00,50200.00,5879.00,6020.00,5923.00,83956947.00
Illinois,Champaign,Illinois,46951.00,48216.00,49702.00,51605.00,52331.00,10766.00,10809.00,9363.00,44619241.00
Purdue,Tippecanoe,Indiana,41573.00,43411.00,44474.00,55311.00,45869.00,8936.00,9085.00,8158.00,33443017.00
Michigan State,Ingham,Michigan,50340.00,50019.00,50351.00,49809.00,49695.00,6263.00,5643.00,4527.00,45964753.00
UW-Madison,Dane,Wisconsin,42582.00,42977.00,43463.00,44527.00,45537.00,6304.00,6456.00,6304.00,29783409.00
Indiana,Monroe,Indiana,49695.00,43710.00,43503.00,43260.00,43064.00,5622.00,5271.00,4353.00,35998136.00
Maryland,Prince George's,Maryland,39083.00,40521.00,41200.00,40743.00,40709.00,6483.00,6483.00,6806.00,32838845.00
Nebraska,Lancaster,Nebraska,25897.00,26079.00,25820.00,25930.00,25057.00,2807.00,2074.00,1526.00,23871084.00
Ohio State,Franklin,Ohio,59482.00,59837.00,61170.00,61391.00,67957.00,6739.00,6571.00,5580.00,65158493.00
Penn State,Centre,Pennsylvania,47261.00,46610.00,46810.00,46723.00,45901.00,7126.00,7509.00,6928.00,84967674.00
Minnesota,Hennepin,Minnesota,51579.00,51848.00,50734.00,51327.00,47556.00,6069.00,6110.00,5191.00,40211125.00
Iowa,Johnson,Iowa,32011.00,32166.00,31656.00,31240.00,30448.00,3701.00,3163.00,2072.00,24985012.00
